TIMESTAMP;X;Y;Z
2017/11/02 10:03:52.360;-1.4763794;-9.505859;1.0786896
2017/11/02 10:03:52.360;-1.5787354;-9.470154;1.0215607
2017/11/02 10:03:52.361;-1.364502;-9.786743;1.0334625
2017/11/02 10:03:52.361;-1.3668823;-9.796265;0.9453888
2017/11/02 10:03:52.361;-1.4025879;-9.731995;0.91682434
2017/11/02 10:03:52.361;-1.4168701;-9.693909;0.9203949
2017/11/02 10:03:52.361;-1.4371033;-9.698669;0.87397766
2017/11/02 10:03:52.361;-1.4180603;-9.617737;1.0096588
2017/11/02 10:03:52.361;-1.4132996;-9.695099;0.97395325
2017/11/02 10:03:52.362;-1.4347229;-9.630829;1.0227509
2017/11/02 10:03:52.362;-1.3704529;-9.803406;1.0025177
2017/11/02 10:03:52.362;-1.3859253;-9.678436;1.042984
2017/11/02 10:03:52.362;-1.4656677;-9.521332;1.1120148
2017/11/02 10:03:52.362;-1.4620972;-9.57489;1.0989227
2017/11/02 10:03:52.362;-1.396637;-9.63559;1.1179657
2017/11/02 10:03:52.362;-1.4430542;-9.678436;1.0774994
2017/11/02 10:03:52.363;-1.4835205;-9.57608;1.1048737
2017/11/02 10:03:52.363;-1.454956;-9.602264;1.1155853
2017/11/02 10:03:52.363;-1.4787598;-9.502289;1.1643829
2017/11/02 10:03:52.363;-1.5370789;-9.451111;1.1108246
2017/11/02 10:03:52.363;-1.4763794;-9.746277;1.0441742
2017/11/02 10:03:52.363;-1.4240112;-9.693909;1.0548859
2017/11/02 10:03:52.363;-1.4347229;-9.615356;1.1381989
2017/11/02 10:03:52.364;-1.4942322;-9.629639;1.0406036
2017/11/02 10:03:52.364;-1.4430542;-9.654633;1.029892
2017/11/02 10:03:52.364;-1.422821;-9.689148;1.0608368
2017/11/02 10:03:52.364;-1.4859009;-9.670105;1.0358429
2017/11/02 10:03:52.364;-1.3954468;-9.749847;0.9965668
2017/11/02 10:03:52.364;-1.3847351;-9.672485;1.0917816
2017/11/02 10:03:52.365;-1.4240112;-9.802216;1.0382233
2017/11/02 10:03:52.382;-1.4585266;-9.695099;1.0215607
2017/11/02 10:03:52.382;-1.4490051;-9.682007;0.98347473
2017/11/02 10:03:52.382;-1.422821;-9.731995;0.9882355
2017/11/02 10:03:52.382;-1.3573608;-9.608215;1.1167755
2017/11/02 10:03:52.382;-1.5930176;-9.488007;1.0953522
2017/11/02 10:03:52.384;-1.5108948;-9.791504;0.9358673
2017/11/02 10:03:52.384;-1.4823303;-9.371368;1.0322723
2017/11/02 10:03:52.384;-1.5144653;-9.626068;1.171524
2017/11/02 10:03:52.387;-1.5216064;-9.729614;0.9382477
2017/11/02 10:03:52.387;-1.4085388;-9.474915;1.0667877
2017/11/02 10:03:52.387;-1.5227966;-9.534424;1.0798798
2017/11/02 10:03:52.388;-1.5620728;-9.653442;0.9287262
2017/11/02 10:03:52.388;-1.5049438;-9.608215;0.9799042
2017/11/02 10:03:52.388;-1.4620972;-9.534424;0.895401
2017/11/02 10:03:52.388;-1.5501709;-9.266632;1.0894012
2017/11/02 10:03:52.388;-1.4716187;-9.854584;0.8394623
2017/11/02 10:03:52.389;-1.3704529;-9.970032;0.72758484
2017/11/02 10:03:52.389;-1.4335327;-9.760559;0.84065247
2017/11/02 10:03:52.390;-1.5192261;-9.539185;0.9382477
2017/11/02 10:03:52.390;-1.422821;-9.774841;0.78352356
2017/11/02 10:03:52.390;-1.3716431;-9.6605835;0.7740021
2017/11/02 10:03:52.390;-1.5680237;-9.710571;0.8608856
2017/11/02 10:03:52.390;-1.4847107;-9.792694;0.8454132
2017/11/02 10:03:52.390;-1.5097046;-9.728424;0.87397766
2017/11/02 10:03:52.391;-1.6168213;-9.620117;0.863266
2017/11/02 10:03:52.391;-1.4942322;-9.822449;0.8227997
2017/11/02 10:03:52.391;-1.3990173;-9.680817;0.8704071
2017/11/02 10:03:52.391;-1.5227966;-9.727234;0.79304504
2017/11/02 10:03:52.391;-1.538269;-9.865295;0.71806335
2017/11/02 10:03:52.391;-1.3835449;-9.89624;0.7228241
2017/11/02 10:03:52.391;-1.4811401;-9.605835;0.7716217
2017/11/02 10:03:52.392;-1.4811401;-9.849823;0.6668854
2017/11/02 10:03:52.392;-1.3990173;-9.758179;0.6335602
2017/11/02 10:03:52.392;-1.3728333;-9.696289;0.6407013
2017/11/02 10:03:52.392;-1.3811646;-9.529663;0.7037811
2017/11/02 10:03:52.392;-1.6239624;-9.617737;0.779953
2017/11/02 10:03:52.392;-1.4382935;-10.047394;0.6252289
2017/11/02 10:03:52.392;-1.2538147;-9.648682;0.75971985
2017/11/02 10:03:52.393;-1.4513855;-9.503479;1.0001373
2017/11/02 10:03:52.393;-1.5668335;-9.691528;0.8037567
2017/11/02 10:03:52.393;-1.4252014;-9.789124;0.84898376
2017/11/02 10:03:52.393;-1.1907349;-9.823639;0.97276306
2017/11/02 10:03:52.393;-1.2288208;-10.112854;1.1608124
2017/11/02 10:03:52.393;-1.493042;-9.553467;0.7966156
2017/11/02 10:03:52.393;-1.576355;-9.041687;1.2441254
2017/11/02 10:03:52.394;-1.6775208;-9.240448;1.2215118
2017/11/02 10:03:52.394;-1.3573608;-9.7438965;1.2357941
2017/11/02 10:03:52.394;-1.7060852;-9.790314;0.6573639
2017/11/02 10:03:52.394;-1.7227478;-9.777222;0.9108734
2017/11/02 10:03:52.394;-1.9155579;-8.99408;1.1405792
2017/11/02 10:03:52.394;-1.6739502;-9.25116;0.9691925
2017/11/02 10:03:52.394;-1.775116;-9.539185;0.8073273
2017/11/02 10:03:52.395;-1.8274841;-9.793884;0.9620514
2017/11/02 10:03:52.395;-1.8167725;-9.853394;0.98228455
2017/11/02 10:03:52.395;-1.775116;-9.718903;0.81565857
2017/11/02 10:03:52.395;-1.6751404;-9.873627;1.2060394
2017/11/02 10:03:52.395;-1.7727356;-9.38446;1.5000153
2017/11/02 10:03:52.395;-1.8013;-9.299957;1.3988495
