TIMESTAMP;ID;OBJECT;RSSI
2017/11/03 13:10:12.681;ed5db2070ac93626;ENTRANCE DOOR;-86
2017/11/03 13:10:28.596;ed5db2070ac93626;ENTRANCE DOOR;-85
2017/11/03 13:10:34.268;ed5db2070ac93626;ENTRANCE DOOR;-85
2017/11/03 13:10:39.639;ed5db2070ac93626;ENTRANCE DOOR;-72
2017/11/03 13:10:44.828;ed5db2070ac93626;ENTRANCE DOOR;-72
2017/11/03 13:10:50.182;ed5db2070ac93626;ENTRANCE DOOR;-78
2017/11/03 13:10:55.465;ed5db2070ac93626;ENTRANCE DOOR;-78
2017/11/03 13:11:00.655;ed5db2070ac93626;ENTRANCE DOOR;-92
2017/11/03 13:11:05.834;ed5db2070ac93626;ENTRANCE DOOR;-92
2017/11/03 13:11:11.034;768a0ca423a37319;LAUNDRY BASKET;-90
2017/11/03 13:11:11.065;d895f89352efda14;WATER BOTTLE;-94
2017/11/03 13:11:11.066;a909c2973133b421;POT DRAWER;-94
2017/11/03 13:11:11.066;b924c01610110ab4;TOOTHBRUSH;-96
2017/11/03 13:11:16.120;768a0ca423a37319;LAUNDRY BASKET;-90
2017/11/03 13:11:16.121;d895f89352efda14;WATER BOTTLE;-94
2017/11/03 13:11:16.122;a909c2973133b421;POT DRAWER;-94
2017/11/03 13:11:16.122;b924c01610110ab4;TOOTHBRUSH;-96
2017/11/03 13:11:21.380;06099f1be94516d9;FOOD CUPBOARD;-78
2017/11/03 13:11:21.381;6f9f4861f45eb83d;MEDICINE BOX;-93
2017/11/03 13:11:26.544;b141ab754dad1e55;FRIDGE;-78
2017/11/03 13:11:26.547;06099f1be94516d9;FOOD CUPBOARD;-79
2017/11/03 13:11:26.551;6f9f4861f45eb83d;MEDICINE BOX;-93
2017/11/03 13:11:31.819;b141ab754dad1e55;FRIDGE;-82
2017/11/03 13:11:31.819;06099f1be94516d9;FOOD CUPBOARD;-91
2017/11/03 13:11:31.820;d895f89352efda14;WATER BOTTLE;-98
2017/11/03 13:11:37.121;b141ab754dad1e55;FRIDGE;-60
2017/11/03 13:11:37.122;06099f1be94516d9;FOOD CUPBOARD;-91
2017/11/03 13:11:37.129;d895f89352efda14;WATER BOTTLE;-101
2017/11/03 13:11:42.427;b141ab754dad1e55;FRIDGE;-62
2017/11/03 13:11:42.452;d895f89352efda14;WATER BOTTLE;-101
2017/11/03 13:11:47.567;b141ab754dad1e55;FRIDGE;-62
2017/11/03 13:11:47.567;d895f89352efda14;WATER BOTTLE;-101
2017/11/03 13:11:52.940;a909c2973133b421;POT DRAWER;-83
2017/11/03 13:11:52.951;b924c01610110ab4;TOOTHBRUSH;-91
2017/11/03 13:11:52.952;06099f1be94516d9;FOOD CUPBOARD;-98
2017/11/03 13:11:58.142;a909c2973133b421;POT DRAWER;-83
2017/11/03 13:11:58.143;b924c01610110ab4;TOOTHBRUSH;-91
2017/11/03 13:11:58.144;06099f1be94516d9;FOOD CUPBOARD;-98
2017/11/03 13:11:58.144;fc0a68ebcdb1ab7c;PYJAMAS DRAWER;-98
2017/11/03 13:12:03.333;06099f1be94516d9;FOOD CUPBOARD;-74
2017/11/03 13:12:03.334;b141ab754dad1e55;FRIDGE;-77
2017/11/03 13:12:03.350;d895f89352efda14;WATER BOTTLE;-90
2017/11/03 13:12:03.351;a909c2973133b421;POT DRAWER;-92
