TIMESTAMP;ID;OBJECT;RSSI
2017/10/31 16:26:55.300;ed5db2070ac93626;ENTRANCE DOOR;-92
2017/10/31 16:27:00.361;ed5db2070ac93626;ENTRANCE DOOR;-92
2017/10/31 16:27:05.620;ed5db2070ac93626;ENTRANCE DOOR;-92
2017/10/31 16:27:10.758;ed5db2070ac93626;ENTRANCE DOOR;-91
2017/10/31 16:27:15.966;ed5db2070ac93626;ENTRANCE DOOR;-80
2017/10/31 16:27:21.147;ed5db2070ac93626;ENTRANCE DOOR;-73
2017/10/31 16:27:26.314;ed5db2070ac93626;ENTRANCE DOOR;-75
2017/10/31 16:27:31.411;ed5db2070ac93626;ENTRANCE DOOR;-75
2017/10/31 16:27:36.845;ed5db2070ac93626;ENTRANCE DOOR;-88
2017/10/31 16:27:42.049;ed5db2070ac93626;ENTRANCE DOOR;-88
2017/10/31 16:27:47.278;06099f1be94516d9;FOOD CUPBOARD;-86
2017/10/31 16:27:47.278;768a0ca423a37319;LAUNDRY BASKET;-100
2017/10/31 16:27:52.440;06099f1be94516d9;FOOD CUPBOARD;-86
2017/10/31 16:27:52.441;6f9f4861f45eb83d;MEDICINE BOX;-88
2017/10/31 16:27:52.447;768a0ca423a37319;LAUNDRY BASKET;-89
2017/10/31 16:27:57.665;6f9f4861f45eb83d;MEDICINE BOX;-88
2017/10/31 16:27:57.671;768a0ca423a37319;LAUNDRY BASKET;-89
2017/10/31 16:27:57.673;d895f89352efda14;WATER BOTTLE;-95
2017/10/31 16:27:57.673;06099f1be94516d9;FOOD CUPBOARD;-98
2017/10/31 16:27:57.674;b141ab754dad1e55;FRIDGE;-98
2017/10/31 16:28:02.744;d895f89352efda14;WATER BOTTLE;-95
2017/10/31 16:28:02.744;06099f1be94516d9;FOOD CUPBOARD;-98
2017/10/31 16:28:02.745;b141ab754dad1e55;FRIDGE;-98
2017/10/31 16:28:08.006;b141ab754dad1e55;FRIDGE;-89
2017/10/31 16:28:08.006;d895f89352efda14;WATER BOTTLE;-92
2017/10/31 16:28:12.536;b141ab754dad1e55;FRIDGE;-89
2017/10/31 16:28:12.536;d895f89352efda14;WATER BOTTLE;-92
2017/10/31 16:28:12.538;b924c01610110ab4;TOOTHBRUSH;-95
2017/10/31 16:28:17.657;d895f89352efda14;WATER BOTTLE;-95
2017/10/31 16:28:17.658;b924c01610110ab4;TOOTHBRUSH;-95
2017/10/31 16:28:23.010;768a0ca423a37319;LAUNDRY BASKET;-85
2017/10/31 16:28:23.011;d895f89352efda14;WATER BOTTLE;-97
2017/10/31 16:28:23.012;6f9f4861f45eb83d;MEDICINE BOX;-98
2017/10/31 16:28:23.012;b924c01610110ab4;TOOTHBRUSH;-98
2017/10/31 16:28:23.013;06099f1be94516d9;FOOD CUPBOARD;-101
2017/10/31 16:28:28.298;d895f89352efda14;WATER BOTTLE;-76
2017/10/31 16:28:28.299;06099f1be94516d9;FOOD CUPBOARD;-91
2017/10/31 16:28:28.299;768a0ca423a37319;LAUNDRY BASKET;-93
2017/10/31 16:28:28.300;6f9f4861f45eb83d;MEDICINE BOX;-98
2017/10/31 16:28:28.301;b924c01610110ab4;TOOTHBRUSH;-98
2017/10/31 16:28:33.398;d895f89352efda14;WATER BOTTLE;-76
2017/10/31 16:28:33.399;768a0ca423a37319;LAUNDRY BASKET;-93
