TIMESTAMP;DEVICE;CAPACITANCE
2017/11/15 13:13:08;03,07;0.00,4.00,0.00,-1.00,0.00,-1.00,0.00,-1.00 
2017/11/15 13:13:09;03,07;0.00,1.00,0.00,-1.00,0.00,-1.00,0.00,-1.00 
2017/11/15 13:13:09;03,07;0.00,0.00,0.00,-1.00,0.00,-1.00,0.00,-1.00 
2017/11/15 13:13:10;03,07;0.00,1.00,0.00,-1.00,0.00,-1.00,0.00,-1.00 
2017/11/15 13:13:10;01,09;2.00,0.00,-1.00,0.00,-4.00,14.00,-5.00,1.00 
2017/11/15 13:13:10;01,09;2.00,0.00,-1.00,0.00,-7.00,6.00,25.00,-5.00 
2017/11/15 13:13:10;01,09;2.00,0.00,-1.00,0.00,-4.00,35.00,-71.00,-5.00 
2017/11/15 13:13:11;01,09;2.00,0.00,-1.00,-1.00,4.00,22.00,-60.00,-4.00 
2017/11/15 13:13:11;01,09;1.00,0.00,-1.00,-3.00,34.00,116.00,-50.00,-1.00 
2017/11/15 13:13:11;01,09;2.00,0.00,-1.00,-2.00,32.00,99.00,-39.00,1.00 
2017/11/15 13:13:11;01,09;2.00,0.00,-2.00,-1.00,45.00,8.00,-30.00,1.00 
2017/11/15 13:13:11;01,09;2.00,0.00,-2.00,-1.00,25.00,70.00,-23.00,1.00 
2017/11/15 13:13:11;01,08;-2.00,-2.00,-1.00,-2.00,-2.00,0.00,13.00,11.00 
2017/11/15 13:13:11;01,09;2.00,0.00,-2.00,-1.00,16.00,62.00,-18.00,2.00 
2017/11/15 13:13:11;01,08;3.00,2.00,4.00,3.00,-1.00,-4.00,10.00,-1.00 
2017/11/15 13:13:11;01,09;2.00,0.00,-1.00,0.00,38.00,118.00,-13.00,2.00 
2017/11/15 13:13:11;01,09;2.00,0.00,-2.00,-2.00,21.00,60.00,-10.00,2.00 
2017/11/15 13:13:11;01,09;2.00,0.00,0.00,1.00,24.00,-34.00,-7.00,2.00 
2017/11/15 13:13:12;01,08;14.00,51.00,57.00,3.00,0.00,2.00,7.00,3.00 
2017/11/15 13:13:12;01,09;2.00,0.00,3.00,42.00,9.00,-32.00,-7.00,0.00 
2017/11/15 13:13:12;01,08;12.00,24.00,24.00,1.00,-1.00,0.00,7.00,4.00 
2017/11/15 13:13:12;01,09;1.00,0.00,-32.00,-3.00,8.00,-26.00,-6.00,-1.00 
2017/11/15 13:13:12;01,08;25.00,-48.00,-74.00,3.00,-3.00,-2.00,-1.00,2.00 
2017/11/15 13:13:12;01,09;2.00,3.00,127.00,8.00,7.00,-17.00,-4.00,-1.00 
2017/11/15 13:13:12;01,08;24.00,-32.00,-58.00,-1.00,-2.00,-3.00,0.00,1.00 
2017/11/15 13:13:12;01,09;0.00,0.00,79.00,11.00,6.00,-15.00,-3.00,-2.00 
2017/11/15 13:13:12;01,08;21.00,-22.00,-47.00,-3.00,-1.00,0.00,0.00,1.00 
2017/11/15 13:13:12;01,09;1.00,0.00,53.00,13.00,5.00,-13.00,-3.00,-2.00 
2017/11/15 13:13:12;01,08;19.00,-20.00,-40.00,-3.00,0.00,0.00,0.00,1.00 
2017/11/15 13:13:12;01,09;1.00,0.00,47.00,14.00,4.00,-11.00,-3.00,-2.00 
2017/11/15 13:13:12;02,08;2.00,-1.00,1.00,0.00,0.00,-1.00,8.00,63.00 
2017/11/15 13:13:12;01,08;17.00,-17.00,-34.00,-2.00,-1.00,0.00,0.00,1.00 
2017/11/15 13:13:12;01,09;-1.00,-1.00,22.00,13.00,2.00,-8.00,-2.00,-1.00 
2017/11/15 13:13:12;02,08;2.00,-1.00,0.00,-1.00,0.00,-3.00,-5.00,-6.00 
2017/11/15 13:13:13;02,09;-2.00,-1.00,-1.00,0.00,94.00,7.00,1.00,-3.00 
2017/11/15 13:13:13;01,09;0.00,-1.00,26.00,13.00,2.00,-7.00,-2.00,-1.00 
2017/11/15 13:13:13;02,08;0.00,-1.00,-2.00,-2.00,0.00,-2.00,15.00,53.00 
2017/11/15 13:13:13;02,09;-2.00,0.00,-1.00,0.00,44.00,2.00,-1.00,-5.00 
2017/11/15 13:13:13;01,08;9.00,-10.00,-23.00,-3.00,0.00,1.00,0.00,1.00 
2017/11/15 13:13:13;01,09;1.00,-1.00,41.00,12.00,2.00,-6.00,-2.00,-1.00 
2017/11/15 13:13:13;02,08;-2.00,-5.00,-3.00,-3.00,0.00,-1.00,30.00,57.00 
2017/11/15 13:13:13;02,09;-2.00,0.00,-1.00,-1.00,69.00,8.00,2.00,-4.00 
